Sample	Year	Filename	Depth	period	Reads.post.QC	Reads	Assigned
BH73_6	1964	BH73_6_3_R1.fa.pp.rmdup.nt.merged2.outfile.sorted.sam	24.7	3	49503690	397669	56843
BH73_14	1935	BH73_14_5.fa.pp.rmdup.nt.merged2.outfile.sorted.sam	32.7	3	21885725	302244	35143
BH73_24	1920	BH73_24_5.fa.pp.rmdup.nt.merged2.outfile.sorted.sam	42.7	3	3163617	54370	17981
BH73_40	1898	BH73_40_3_R1.fa.pp.rmdup.nt.merged2.outfile.sorted.sam	58.7	3	17055427	152604	15319
BH73_50	1887	BH73_50_3_R1.fa.pp.rmdup.nt.merged2.outfile.sorted.sam	68.7	3	2619295	30587	5929
BH73_62	1875	BH73_62_5.fa.pp.rmdup.nt.merged2.outfile.sorted.sam	80.7	3	69782946	657813	70760
BH73_63	1874	BH73_63_5.fa.pp.rmdup.nt.merged2.outfile.sorted.sam	81.7	3	35482228	390435	52807
BH73_64	1873	BH73_64_5.fa.pp.rmdup.nt.merged2.outfile.sorted.sam	82.7	3	7646534	116684	26456
BH73_65	1871	BH73_65_5.fa.pp.rmdup.nt.merged2.outfile.sorted.sam	83.7	3	1940744	38434	13086
BH73_66	1869	BH73_66_5.fa.pp.rmdup.nt.merged2.outfile.sorted.sam	84.7	3	1906400	29143	7208
BH73_67	1866	BH73_67_3_R1.fa.pp.rmdup.nt.merged2.outfile.sorted.sam	85.7	3	1083229	10052	1212
BH73_68	1863	BH73_68_3_R1.fa.pp.rmdup.nt.merged2.outfile.sorted.sam	86.7	3	2284755	21700	2541
BH73_69	1860	BH73_69_3_R1.fa.pp.rmdup.nt.merged2.outfile.sorted.sam	87.7	3	2747595	24105	2658
BH73_70	1857	BH73_70_5.fa.pp.rmdup.nt.merged2.outfile.sorted.sam	88.7	3	2534403	30978	5693
BH73_71	1854	BH73_71_5.fa.pp.rmdup.nt.merged2.outfile.sorted.sam	89.7	3	4369205	45126	7553
BH73_72	1850	BH73_72_5.fa.pp.rmdup.nt.merged2.outfile.sorted.sam	90.7	2	166598	19845	9855
BH73_73	1843	BH73_73_5.fa.pp.rmdup.nt.merged2.outfile.sorted.sam	91.7	2	147604172	1377242	279476
BH73_74	1837	BH73_74_5.fa.pp.rmdup.nt.merged2.outfile.sorted.sam	92.7	2	26527604	192108	22459
BH73_79	1806	BH73_79_2_R1.fa.pp.rmdup.nt.merged2.outfile.sorted.sam	97.7	2	9940873	40821	5965
BH73_80	1801	BH73_80_2_R1.fa.pp.rmdup.nt.merged2.outfile.sorted.sam	98.7	2	15496379	60523	13218
BH73_81	1794	BH73_81_2_R1.fa.pp.rmdup.nt.merged2.outfile.sorted.sam	99.7	2	25541400	87970	17070
BH73_83	1789	BH73_83_2_R1.fa.pp.rmdup.nt.merged2.outfile.sorted.sam	101.7	1	4275844	71231	13374
BH73_84	1789	BH73_84_2_R1.fa.pp.rmdup.nt.merged2.outfile.sorted.sam	102.7	1	9841012	155726	29888
BH73_85	1788	BH73_85_3_R1.fa.pp.rmdup.nt.merged2.outfile.sorted.sam	103.7	1	31142273	243857	43785
BH73_86	1786	BH73_86_3_R1.fa.pp.rmdup.nt.merged2.outfile.sorted.sam	104.7	1	34738247	285314	52590
BH73_94	1766	BH73_94_3_R1.fa.pp.rmdup.nt.merged2.outfile.sorted.sam	112.7	1	19491698	144436	16793
BH73_114	1716	BH73_114_5.fa.pp.rmdup.nt.merged2.outfile.sorted.sam	132.7	1	56596287	512149	64213
BH73_115	1714	BH73_115_5.fa.pp.rmdup.nt.merged2.outfile.sorted.sam	133.7	1	10168659	115189	16364
BH73_117	1709	BH73_117_3_R1.fa.pp.rmdup.nt.merged2.outfile.sorted.sam	135.7	1	82318001	470406	47456
BH73_119	1704	BH73_119_3_R1.fa.pp.rmdup.nt.merged2.outfile.sorted.sam	137.7	1	4421636	27233	4192
BH73_129	1683	BH73_129_2_R1.fa.pp.rmdup.nt.merged2.outfile.sorted.sam	147.7	1	17004440	97057	18490
